Problem Size, Plan Length, Nodes Expanded, Total Time
21block_10_problem, 70, 809, 0.0468028
21block_1_problem, 94, 503, 0.0388845
21block_2_problem, 158, 917, 0.0537383
21block_3_problem, 58, 270, 0.0295741
21block_4_problem, 102, 641, 0.0426038
21block_5_problem, 62, 250, 0.0305771
21block_6_problem, 86, 421, 0.0345319
21block_7_problem, 84, 539, 0.0544067
21block_8_problem, 80, 547, 0.0464856
21block_9_problem, 56, 202, 0.0248701
22block_10_problem, 78, 884, 0.0540087
22block_1_problem, 78, 290, 0.0324547
22block_2_problem, 62, 324, 0.0347262
22block_3_problem, 82, 400, 0.0347376
22block_4_problem, 126, 622, 0.0519118
22block_5_problem, 74, 527, 0.0422887
22block_6_problem, 108, 589, 0.0441906
22block_7_problem, 152, 652, 0.0405962
22block_8_problem, 96, 448, 0.0360054
22block_9_problem, 144, 665, 0.0440838
23block_10_problem, 70, 341, 0.0472619
23block_1_problem, 96, 533, 0.0448059
23block_2_problem, 88, 727, 0.056042
23block_3_problem, 110, 439, 0.039541
23block_4_problem, 92, 571, 0.0519194
23block_5_problem, 108, 379, 0.0470149
23block_6_problem, 130, 494, 0.0549752
23block_7_problem, 64, 418, 0.0414255
23block_8_problem, 70, 580, 0.0566268
23block_9_problem, 122, 552, 0.0457587
24block_10_problem, 78, 888, 0.0736532
24block_1_problem, 90, 715, 0.0589925
24block_2_problem, 86, 645, 0.066618
24block_3_problem, 72, 1003, 0.0693054
24block_4_problem, 154, 1036, 0.068832
24block_5_problem, 102, 740, 0.0589887
24block_6_problem, 220, 1759, 0.0867975
24block_7_problem, 134, 678, 0.0504904
24block_8_problem, 102, 709, 0.0579624
24block_9_problem, 88, 490, 0.0454115
25block_10_problem, 120, 770, 0.0705014
25block_1_problem, 188, 1290, 0.0972295
25block_2_problem, 94, 483, 0.0551796
25block_3_problem, 194, 4378, 0.224169
25block_4_problem, 90, 304, 0.0607729
25block_5_problem, 150, 789, 0.0839349
25block_6_problem, 76, 681, 0.0610425
25block_7_problem, 78, 958, 0.0733417
25block_8_problem, 144, 504, 0.0472346
25block_9_problem, 160, 823, 0.0920899
26block_10_problem, 80, 1059, 0.0813198
26block_1_problem, 92, 935, 0.0779462
26block_2_problem, 104, 709, 0.0701455
26block_3_problem, 114, 919, 0.0855751
26block_4_problem, 80, 1136, 0.085473
26block_5_problem, 90, 708, 0.0674118
26block_6_problem, 96, 862, 0.0751786
26block_7_problem, 90, 639, 0.0657148
26block_8_problem, 98, 992, 0.0788605
26block_9_problem, 144, 450, 0.0564503
27block_10_problem, 122, 781, 0.0708243
27block_1_problem, 130, 472, 0.0589676
27block_2_problem, 90, 895, 0.107797
27block_3_problem, 90, 770, 0.0737967
27block_4_problem, 100, 1091, 0.0980181
27block_5_problem, 120, 978, 0.0855615
27block_6_problem, 78, 1070, 0.0952789
27block_7_problem, 286, 5158, 0.266286
27block_8_problem, 90, 963, 0.0864931
27block_9_problem, 86, 1096, 0.0861976
28block_10_problem, 108, 996, 0.0900712
28block_1_problem, 278, 2669, 0.158765
28block_2_problem, 92, 462, 0.0712595
28block_3_problem, 168, 690, 0.0707853
28block_4_problem, 174, 1111, 0.100449
28block_5_problem, 110, 715, 0.088061
28block_6_problem, 94, 948, 0.0972495
28block_7_problem, 100, 1420, 0.110509
28block_8_problem, 102, 1454, 0.115894
28block_9_problem, 194, 959, 0.0892867
29block_10_problem, 136, 590, 0.0784545
29block_1_problem, 144, 748, 0.0834598
29block_2_problem, 220, 1878, 0.130163
29block_3_problem, 124, 574, 0.0830979
29block_4_problem, 112, 826, 0.09375
29block_5_problem, 106, 472, 0.0854275
29block_6_problem, 156, 950, 0.0976423
29block_7_problem, 182, 866, 0.0921106
29block_8_problem, 104, 1330, 0.130075
29block_9_problem, 178, 2620, 0.184752
30block_10_problem, 108, 392, 0.0945545
30block_1_problem, 98, 1105, 0.115423
30block_2_problem, 100, 1475, 0.156397
30block_3_problem, 84, 609, 0.0874599
30block_4_problem, 108, 1154, 0.115405
30block_5_problem, 174, 656, 0.0813798
30block_6_problem, 140, 1926, 0.171753
30block_7_problem, 126, 1683, 0.142744
30block_8_problem, 108, 1410, 0.140465
30block_9_problem, 164, 1063, 0.117859
