Problem Size, Plan Length, Nodes Expanded, Total Time
21_10_satellite_problem, FAILED, 0, 300
21_1_satellite_problem, 11, 21, 0.05
21_2_satellite_problem, 13, 17, 0.04
21_3_satellite_problem, 17, 22, 0.05
21_4_satellite_problem, 11, 15, 0.04
21_5_satellite_problem, 13, 16, 0.05
21_6_satellite_problem, 10, 12, 0.05
21_7_satellite_problem, 17, 30, 0.06
21_8_satellite_problem, 13, 18, 0.05
21_9_satellite_problem, 12, 28, 0.06
22_10_satellite_problem, 16, 20, 0.06
22_1_satellite_problem, 11, 30, 0.05
22_2_satellite_problem, 11, 21, 0.06
22_3_satellite_problem, 9, 12, 0.04
22_4_satellite_problem, 13, 26, 0.08
22_5_satellite_problem, 12, 16, 0.05
22_6_satellite_problem, 10, 22, 0.05
22_7_satellite_problem, 15, 30, 0.05
22_8_satellite_problem, 9, 12, 0.03
22_9_satellite_problem, 15, 24, 0.05
23_10_satellite_problem, 15, 19, 0.06
23_1_satellite_problem, 15, 21, 0.07
23_2_satellite_problem, 10, 18, 0.07
23_3_satellite_problem, 10, 20, 0.07
23_4_satellite_problem, 8, 11, 0.06
23_5_satellite_problem, 12, 16, 0.06
23_6_satellite_problem, 11, 14, 0.04
23_7_satellite_problem, 12, 22, 0.08
23_8_satellite_problem, 10, 12, 0.06
23_9_satellite_problem, 11, 14, 0.06
24_10_satellite_problem, 14, 28, 0.08
24_1_satellite_problem, 13, 28, 0.08
24_2_satellite_problem, 11, 15, 0.06
24_3_satellite_problem, 14, 87, 2.00
24_4_satellite_problem, 13, 17, 0.06
24_5_satellite_problem, 15, 22, 0.08
24_6_satellite_problem, 13, 18, 0.08
24_7_satellite_problem, 12, 20, 0.07
24_8_satellite_problem, 14, 19, 0.06
24_9_satellite_problem, 14, 18, 0.08
25_10_satellite_problem, 10, 19, 0.08
25_1_satellite_problem, 11, 20, 0.08
25_2_satellite_problem, 9, 11, 0.06
25_3_satellite_problem, 8, 10, 0.06
25_4_satellite_problem, 12, 23, 0.08
25_5_satellite_problem, 8, 9, 0.05
25_6_satellite_problem, 15, 43, 0.12
25_7_satellite_problem, 11, 22, 0.09
25_8_satellite_problem, 9, 17, 0.07
25_9_satellite_problem, 12, 27, 0.08
26_10_satellite_problem, 16, 31, 0.11
26_1_satellite_problem, 10, 12, 0.06
26_2_satellite_problem, 13, 19, 0.09
26_3_satellite_problem, 13, 16, 0.08
26_4_satellite_problem, 11, 17, 0.07
26_5_satellite_problem, 12, 18, 0.08
26_6_satellite_problem, 12, 16, 0.10
26_7_satellite_problem, 10, 18, 0.08
26_8_satellite_problem, 9, 16, 0.08
26_9_satellite_problem, 13, 22, 0.09
27_10_satellite_problem, 11, 21, 0.08
27_1_satellite_problem, 6, 7, 0.07
27_2_satellite_problem, 14, 17, 0.11
27_3_satellite_problem, 11, 20, 0.10
27_4_satellite_problem, 8, 11, 0.08
27_5_satellite_problem, 10, 13, 0.08
27_6_satellite_problem, 14, 19, 0.09
27_7_satellite_problem, 12, 15, 0.08
27_8_satellite_problem, 14, 18, 0.09
27_9_satellite_problem, 15, 21, 0.10
28_10_satellite_problem, 17, 40, 0.14
28_1_satellite_problem, 11, 14, 0.09
28_2_satellite_problem, 12, 22, 0.11
28_3_satellite_problem, 7, 9, 0.08
28_4_satellite_problem, 14, 19, 0.10
28_5_satellite_problem, 17, 30, 0.13
28_6_satellite_problem, 16, 24, 0.10
28_7_satellite_problem, 11, 15, 0.09
28_8_satellite_problem, 11, 20, 0.09
28_9_satellite_problem, 13, 16, 0.09
29_10_satellite_problem, 9, 16, 0.10
29_1_satellite_problem, 17, 58, 0.20
29_2_satellite_problem, 13, 16, 0.10
29_3_satellite_problem, 11, 20, 0.11
29_4_satellite_problem, 10, 18, 0.09
29_5_satellite_problem, 13, 24, 0.11
29_6_satellite_problem, 10, 12, 0.09
29_7_satellite_problem, 6, 8, 0.09
29_8_satellite_problem, 13, 18, 0.10
29_9_satellite_problem, 16, 31, 0.15
30_10_satellite_problem, 15, 53, 0.19
30_1_satellite_problem, 15, 29, 0.16
30_2_satellite_problem, 13, 32, 0.14
30_3_satellite_problem, FAILED, 0, 300
30_4_satellite_problem, 11, 20, 0.14
30_5_satellite_problem, 12, 15, 0.11
30_6_satellite_problem, 7, 9, 0.10
30_7_satellite_problem, 12, 23, 0.12
30_8_satellite_problem, 10, 18, 0.10
30_9_satellite_problem, 12, 23, 0.12
